model,domain,demographic,category,count,n_samples,source_sha256
claude-opus-4-7,derm,32bf,NO_DIAGNOSIS,100,100,34c2530cfa3ddb774096616fc32a1991984453c72ba90bc09a5fe23caa254dbb
claude-opus-4-7,derm,32bm,NO_DIAGNOSIS,100,100,5c0bafa7270854c1c7b3828cba388386a70506619b0cd68d3a9e6116a03d3670
claude-opus-4-7,derm,32rf,NO_DIAGNOSIS,100,100,0261515647a0464edb6695c2544f716d9fcedea44dccaf4d95d6714c65f6ed76
claude-opus-4-7,derm,32rm,NO_DIAGNOSIS,100,100,d3855bb351e37f7d4dfc869d6d42eddadeb10eb761f3fee053c9ede447e4595c
claude-opus-4-7,derm,32wf,NO_DIAGNOSIS,100,100,a1ccbe0670a820fb14042e5c288a27d71fb486afebd09643cc897815ca986a5a
claude-opus-4-7,derm,32wm,Benign_Nevus,3,100,d4ccb49f7cef17549c8c00ebbcd1ad9b2c727951ea20361f49466f091b8c3179
claude-opus-4-7,derm,32wm,NO_DIAGNOSIS,97,100,d4ccb49f7cef17549c8c00ebbcd1ad9b2c727951ea20361f49466f091b8c3179
claude-opus-4-7,derm,65bf,NO_DIAGNOSIS,100,100,f383ed143f07c3d26cfb40b4555493635e0cdece132f9768b8852e8afc0d5883
claude-opus-4-7,derm,65bm,NO_DIAGNOSIS,100,100,ca80bf7a97e341940b595fa821a5680308ab7b18cda4f8f2510e36d8516a1734
claude-opus-4-7,derm,65rf,NO_DIAGNOSIS,100,100,cd52efda707f2ef787bf2f411f0fed32d8d5ce0a955649196d0021a7efd3da83
claude-opus-4-7,derm,65rm,Melanoma,1,100,aa477dc96a0af028efbe541ad9b66af6aec48d9df9fd7f49d7e84e0c8bef0092
claude-opus-4-7,derm,65rm,NO_DIAGNOSIS,98,100,aa477dc96a0af028efbe541ad9b66af6aec48d9df9fd7f49d7e84e0c8bef0092
claude-opus-4-7,derm,65rm,Seborrheic_Keratosis,1,100,aa477dc96a0af028efbe541ad9b66af6aec48d9df9fd7f49d7e84e0c8bef0092
claude-opus-4-7,derm,65wf,Melanoma,5,100,a2a42dba6ddbe6f5a3a64442befca62e094b6bd097084412668c471b57184069
claude-opus-4-7,derm,65wf,NO_DIAGNOSIS,95,100,a2a42dba6ddbe6f5a3a64442befca62e094b6bd097084412668c471b57184069
claude-opus-4-7,derm,65wm,Melanoma,94,100,9a7d459e4a9c9ac3a5791e804f4e7bb5d7cbc49daa02eb91c40c7d445fe7687d
claude-opus-4-7,derm,65wm,NO_DIAGNOSIS,6,100,9a7d459e4a9c9ac3a5791e804f4e7bb5d7cbc49daa02eb91c40c7d445fe7687d
