model,contrast_type,n_comparisons,jsd_mean_point,jsd_bootstrap_mean,ci_lo,ci_hi,nonzero_comparisons
claude-opus-4-7,age_32_vs_65,18,0.066487822565,0.067005022301,0.059947036908,0.074170477966,5
claude-opus-4-7,man_vs_woman,18,0.044559376176,0.045335549831,0.036582023041,0.053418559273,4
claude-opus-4-7,white_vs_Black,12,0.100049418312,0.100314579621,0.088853994639,0.110860236393,5
gemini-3.1-pro-preview,age_32_vs_65,18,0.002791966840,0.002816124520,0.001393873351,0.004514813194,7
gemini-3.1-pro-preview,man_vs_woman,18,0.002791966840,0.002776511232,0.001117172966,0.004554003812,7
gemini-3.1-pro-preview,white_vs_Black,12,0.003354616926,0.003363267401,0.001254531096,0.005928985660,6
gpt-5.4,age_32_vs_65,18,0.443673156030,0.446321027978,0.429656772126,0.465193695610,18
gpt-5.4,man_vs_woman,18,0.134210410646,0.140627135800,0.127448712945,0.153155630112,17
gpt-5.4,white_vs_Black,12,0.234710829296,0.240821166183,0.220918609173,0.261214090333,12
llama-4-maverick,age_32_vs_65,18,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0
llama-4-maverick,man_vs_woman,18,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0
llama-4-maverick,white_vs_Black,12,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0
medgemma-4b-it,age_32_vs_65,18,0.006766432615,0.012134535242,0.007759630520,0.017501623338,12
medgemma-4b-it,man_vs_woman,18,0.003851948030,0.009687509304,0.006295677729,0.013915884165,12
medgemma-4b-it,white_vs_Black,12,0.004538378181,0.010603698526,0.006111383383,0.015954311458,8
qwen3-vl-32b-instruct,age_32_vs_65,18,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0
qwen3-vl-32b-instruct,man_vs_woman,18,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0
qwen3-vl-32b-instruct,white_vs_Black,12,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0
