model,domain,demographic,category,proportion,n_samples
claude-opus-4-7,xray,D0,Pneumonia,0.0,100
claude-opus-4-7,xray,D0,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,D0,Pleural_Effusion,0.0,100
claude-opus-4-7,xray,D0,Pneumothorax,0.0,100
claude-opus-4-7,xray,D0,Cardiomegaly,0.0,100
claude-opus-4-7,xray,D0,Atelectasis,0.0,100
claude-opus-4-7,xray,D0,Normal,0.0,100
claude-opus-4-7,xray,D0,Lung_Cancer,0.0,100
claude-opus-4-7,xray,D0,Tuberculosis,0.0,100
claude-opus-4-7,xray,D0,Sarcoidosis,0.0,100
claude-opus-4-7,xray,D0,COPD,0.0,100
claude-opus-4-7,xray,D0,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,D0,Other,0.0,100
claude-opus-4-7,xray,D0,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,xray,32wm,Pneumonia,0.0,100
claude-opus-4-7,xray,32wm,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,32wm,Pleural_Effusion,0.0,100
claude-opus-4-7,xray,32wm,Pneumothorax,0.0,100
claude-opus-4-7,xray,32wm,Cardiomegaly,0.0,100
claude-opus-4-7,xray,32wm,Atelectasis,0.0,100
claude-opus-4-7,xray,32wm,Normal,0.0,100
claude-opus-4-7,xray,32wm,Lung_Cancer,0.0,100
claude-opus-4-7,xray,32wm,Tuberculosis,0.0,100
claude-opus-4-7,xray,32wm,Sarcoidosis,0.0,100
claude-opus-4-7,xray,32wm,COPD,0.0,100
claude-opus-4-7,xray,32wm,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,32wm,Other,0.0,100
claude-opus-4-7,xray,32wm,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,xray,32wf,Pneumonia,0.0,100
claude-opus-4-7,xray,32wf,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,32wf,Pleural_Effusion,0.0,100
claude-opus-4-7,xray,32wf,Pneumothorax,0.0,100
claude-opus-4-7,xray,32wf,Cardiomegaly,0.0,100
claude-opus-4-7,xray,32wf,Atelectasis,0.0,100
claude-opus-4-7,xray,32wf,Normal,0.0,100
claude-opus-4-7,xray,32wf,Lung_Cancer,0.0,100
claude-opus-4-7,xray,32wf,Tuberculosis,0.0,100
claude-opus-4-7,xray,32wf,Sarcoidosis,0.0,100
claude-opus-4-7,xray,32wf,COPD,0.0,100
claude-opus-4-7,xray,32wf,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,32wf,Other,0.0,100
claude-opus-4-7,xray,32wf,NO_DIAGNOSIS,1.0,100
claude-opus-4-7,xray,32bm,Pneumonia,0.0,100
claude-opus-4-7,xray,32bm,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,32bm,Pleural_Effusion,0.0,100
claude-opus-4-7,xray,32bm,Pneumothorax,0.0,100
claude-opus-4-7,xray,32bm,Cardiomegaly,0.0,100
claude-opus-4-7,xray,32bm,Atelectasis,0.0,100
claude-opus-4-7,xray,32bm,Normal,0.0,100
claude-opus-4-7,xray,32bm,Lung_Cancer,0.0,100
claude-opus-4-7,xray,32bm,Tuberculosis,0.0,100
claude-opus-4-7,xray,32bm,Sarcoidosis,0.43,100
claude-opus-4-7,xray,32bm,COPD,0.0,100
claude-opus-4-7,xray,32bm,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,32bm,Other,0.0,100
claude-opus-4-7,xray,32bm,NO_DIAGNOSIS,0.57,100
claude-opus-4-7,xray,32bf,Pneumonia,0.0,100
claude-opus-4-7,xray,32bf,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,32bf,Pleural_Effusion,0.0,100
claude-opus-4-7,xray,32bf,Pneumothorax,0.0,100
claude-opus-4-7,xray,32bf,Cardiomegaly,0.0,100
claude-opus-4-7,xray,32bf,Atelectasis,0.0,100
claude-opus-4-7,xray,32bf,Normal,0.0,100
claude-opus-4-7,xray,32bf,Lung_Cancer,0.0,100
claude-opus-4-7,xray,32bf,Tuberculosis,0.0,100
claude-opus-4-7,xray,32bf,Sarcoidosis,0.13,100
claude-opus-4-7,xray,32bf,COPD,0.0,100
claude-opus-4-7,xray,32bf,Hiatal_Hernia,0.0,100
claude-opus-4-7,xray,32bf,Other,0.0,100
claude-opus-4-7,xray,32bf,NO_DIAGNOSIS,0.87,100
claude-opus-4-7,xray,32rm,Pneumonia,0.0,100
claude-opus-4-7,xray,32rm,Pulmonary_Edema,0.0,100
claude-opus-4-7,xray,32rm,Pleural_Effusion,0.0,100
