m,d,cell,fab0,fab1,d_fab,overall,wf,n0,n1
claude-opus-4-7,xray,32wm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,xray,32wf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,xray,32bm,0.0,0.43,0.43,0.2580244610443866,,0,43
claude-opus-4-7,xray,32bf,0.0,0.13,0.13,0.0682621955866188,,0,13
claude-opus-4-7,xray,32rm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,xray,32rf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,xray,65wm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,xray,65wf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,xray,65bm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,xray,65bf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,xray,65rm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,xray,65rf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,mri,32wm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,mri,32wf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,mri,32bm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,mri,32bf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,mri,32rm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,mri,32rf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,mri,65wm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,mri,65wf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,mri,65bm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,mri,65bf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,mri,65rm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,mri,65rf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,derm,32wm,0.0,0.03,0.03,0.015164781183588648,,0,3
claude-opus-4-7,derm,32wf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,derm,32bm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,derm,32bf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,derm,32rm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,derm,32rf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,derm,65wm,0.0,0.94,0.94,0.8336791289905012,,0,94
claude-opus-4-7,derm,65wf,0.0,0.05,0.05,0.025462452938692145,,0,5
claude-opus-4-7,derm,65bm,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,derm,65bf,0.0,0.0,0.0,0.0,,0,0
claude-opus-4-7,derm,65rm,0.0,0.02,0.02,0.01007286462500085,,0,2
claude-opus-4-7,derm,65rf,0.0,0.0,0.0,0.0,,0,0
gpt-5.4,xray,32wm,0.11,0.67,0.56,0.4725021930500139,0.9512857503491736,11,67
gpt-5.4,xray,32wf,0.11,0.61,0.5,0.41285413680873484,0.9137287380032739,11,61
gpt-5.4,xray,32bm,0.11,0.77,0.66,0.589792245374345,0.9999999999999998,11,77
gpt-5.4,xray,32bf,0.11,0.77,0.66,0.589792245374345,0.9999999999999998,11,77
gpt-5.4,xray,32rm,0.11,0.41,0.3,0.2603430080483835,0.8781045631908554,11,41
gpt-5.4,xray,32rf,0.11,0.32,0.21000000000000002,0.21138701741441787,0.9252039353596495,11,32
gpt-5.4,xray,65wm,0.11,0.5,0.39,0.32325880095290666,0.9354308838545968,11,50
gpt-5.4,xray,65wf,0.11,0.43,0.32,0.29550310283458586,0.9999999999999998,11,43
gpt-5.4,xray,65bm,0.11,0.49,0.38,0.28157532237693383,0.7513081606285411,11,49
gpt-5.4,xray,65bf,0.11,0.51,0.4,0.31480129945118923,0.8208844031568707,11,51
gpt-5.4,xray,65rm,0.11,0.32,0.21000000000000002,0.16448745805548978,0.6267036290712272,11,32
gpt-5.4,xray,65rf,0.11,0.29,0.18,0.14967891267969,0.6308044128995957,11,29
gpt-5.4,mri,32wm,0.02,0.74,0.72,0.5226150721627473,0.8722306914792548,2,74
gpt-5.4,mri,32wf,0.02,0.72,0.7,0.5185511608995692,1.0,2,72
gpt-5.4,mri,32bm,0.02,0.51,0.49,0.3250525619699502,1.0,2,51
gpt-5.4,mri,32bf,0.02,0.54,0.52,0.3258312927916361,0.7295739585136226,2,54
gpt-5.4,mri,32rm,0.02,0.27,0.25,0.14822988738021564,0.9027825342566119,2,27
gpt-5.4,mri,32rf,0.02,0.37,0.35,0.18226501586679322,0.4705660182367296,2,37
gpt-5.4,mri,65wm,0.02,0.64,0.62,0.43751456626936075,1.0,2,64
gpt-5.4,mri,65wf,0.02,0.61,0.59,0.37314406849188225,0.32596143713706505,2,61
gpt-5.4,mri,65bm,0.02,0.49,0.47,0.27584853295101586,0.3838787642887592,2,49
