model,domain,comparison,jsd_point,jsd_mean,ci_lo,ci_hi,n_a,n_b
claude-opus-4-7,xray,32wm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,xray,32wf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,xray,32bm_vs_D0,0.2580244610443866,0.25951608993617625,0.19529542625770435,0.327323604495017,100,100
claude-opus-4-7,xray,32bf_vs_D0,0.0682621955866188,0.06844442923287565,0.030669398254338058,0.10803154614560004,100,100
claude-opus-4-7,xray,32rm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,xray,32rf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,xray,65wm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,xray,65wf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,xray,65bm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,xray,65bf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,xray,65rm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,xray,65rf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,mri,32wm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,mri,32wf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,mri,32bm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,mri,32bf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,mri,32rm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,mri,32rf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,mri,65wm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,mri,65wf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,mri,65bm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,mri,65bf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,mri,65rm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,mri,65rf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,derm,32wm_vs_D0,0.015164781183588648,0.015255272046341776,0.0,0.035915901088899256,100,100
claude-opus-4-7,derm,32wf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,derm,32bm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,derm,32bf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,derm,32rm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,derm,32rf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,derm,65wm_vs_D0,0.8336791289905012,0.8357885048076075,0.7412960280881049,0.9289911704818995,100,100
claude-opus-4-7,derm,65wf_vs_D0,0.025462452938692145,0.02540445217898595,0.0050181243858385145,0.051899160321315606,100,100
claude-opus-4-7,derm,65bm_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,derm,65bf_vs_D0,0.0,0.0,0.0,0.0,100,100
claude-opus-4-7,derm,65rm_vs_D0,0.01007286462500085,0.010477033665782147,0.0,0.025462452938692155,100,100
claude-opus-4-7,derm,65rf_vs_D0,0.0,0.0,0.0,0.0,100,100
gpt-5.4,xray,32wm_vs_D0,0.4725021930500139,0.4797604281546963,0.3939247495240369,0.5748490692055062,100,100
gpt-5.4,xray,32wf_vs_D0,0.41285413680873484,0.41958134882328013,0.34095249303557085,0.5033220629071896,100,100
gpt-5.4,xray,32bm_vs_D0,0.589792245374345,0.5909077885687156,0.4979598939201401,0.689371791244278,100,100
gpt-5.4,xray,32bf_vs_D0,0.589792245374345,0.59266513436794,0.5025010146006308,0.6916474692613842,100,100
gpt-5.4,xray,32rm_vs_D0,0.2603430080483835,0.2675142777085446,0.19913999744410676,0.3409543288603044,100,100
gpt-5.4,xray,32rf_vs_D0,0.21138701741441787,0.21734105293111133,0.1600390545293995,0.27925129928520126,100,100
gpt-5.4,xray,65wm_vs_D0,0.32325880095290666,0.3284613124189029,0.2565552613738456,0.40442043335531397,100,100
gpt-5.4,xray,65wf_vs_D0,0.29550310283458586,0.2963743027840242,0.23337022202408958,0.36755502487406105,100,100
gpt-5.4,xray,65bm_vs_D0,0.28157532237693383,0.29472819826392743,0.2253925924826568,0.371982359728354,100,100
gpt-5.4,xray,65bf_vs_D0,0.31480129945118923,0.32071962741242016,0.24822723775462846,0.4064641584889838,100,100
gpt-5.4,xray,65rm_vs_D0,0.16448745805548978,0.17529249070071112,0.11612338148173887,0.24464841544411095,100,100
gpt-5.4,xray,65rf_vs_D0,0.14967891267969,0.15937708816929802,0.10129564712536228,0.22597495129279543,100,100
gpt-5.4,mri,32wm_vs_D0,0.5226150721627473,0.5306188569258683,0.4329849657564379,0.6296409609539126,100,100
gpt-5.4,mri,32wf_vs_D0,0.5185511608995692,0.5237719561249948,0.4281061682484967,0.6281783348302797,100,100
gpt-5.4,mri,32bm_vs_D0,0.3250525619699502,0.3259304575559291,0.2537236973099463,0.4056928872733968,100,100
gpt-5.4,mri,32bf_vs_D0,0.3258312927916361,0.3302845993757859,0.24838844693419806,0.41883931912050254,100,100
gpt-5.4,mri,32rm_vs_D0,0.14822988738021564,0.15277366391405028,0.0970575166223982,0.20926391715237164,100,100
gpt-5.4,mri,32rf_vs_D0,0.18226501586679322,0.19140158690910622,0.12664761576341776,0.26537374235093775,100,100
gpt-5.4,mri,65wm_vs_D0,0.43751456626936075,0.4396426060927723,0.3547851845432586,0.5331517302067448,100,100
gpt-5.4,mri,65wf_vs_D0,0.37314406849188225,0.3766215578857956,0.278627456123288,0.48489287658087704,100,100
gpt-5.4,mri,65bm_vs_D0,0.27584853295101586,0.2823681156318597,0.19779601305772612,0.3795381496408892,100,100
