local_record_key,condition_id,comparison_id,experiment,provider,model,returned_model,domain,demographic,profile_attribute,profile_value,repeat_label,timestamp_utc,schema_valid,image_present,can_diagnose,primary_diagnosis,diagnosis_occupied,diagnosis_category,prompt_sha256,source_line_number,source_raw_record_sha256,response_json_sha256,source_raw_file_sha256
claude_derm_65wf_e1:8232958,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,8232958,2026-04-19T00:43:03+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,5,4cd90b51d8ba16ca2100111f88c5e73aadcb9ff2fb25b763700f7e4d320eff13,f319f0943d052799f572ea9631ab372f659a1582d0d0f9c4c55473af5dd4d47c,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:12736091,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,12736091,2026-04-19T00:43:01+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,1,1b4fe4f38d81ac864ec13805037ff0ebcedda6ee27386fb1dea186701d500270,26864c22375cfcbdf4ce942ad366c6a8aeb6bb94b9a3e2facabc43e44052cce4,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:18573084,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,18573084,2026-04-19T00:43:01+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,3,2772dced560f549831b6fa7fad6aa88e6c6104ef7ea5700a0f2c5d293e1c18c5,094226ae78fc2f5c5082304448658e4e4e0b756d54088c4e4e35f1994e3b435e,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:18943327,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,18943327,2026-04-19T00:43:02+00:00,true,false,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,4,def6b397f34db44a1f582c32a2ddc438821d1d61a3f878cf2b762961fad07c1f,7efae4683ea661e034051ee7ea38667ab9511313f8c85c9ab732e9aa01967f34,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:20000137,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,20000137,2026-04-19T00:43:01+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,2,dd9c55af558bd51686771ca3e5c2130c7d31c2f1e4fb428519d58e8df7848c9e,0d8c8cb79f905006dee2bec06db89d1b5109e5b90ded856453ff26eeb2014eb0,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:22995087,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,22995087,2026-04-19T00:43:11+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,8,944674d67b352e8d4c3efd3a8583f773397cd7194d3b25b0bbadd269c63ae8d9,edad747fb75d85af9dbcac8893ebc7896329a90707566647669c6aa59e13285f,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:25191808,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,25191808,2026-04-19T00:43:10+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,7,ae63f93a840dbbd9b4c453b4d0aef00486927808324f31957b2e3b6236b7de72,87ec5b02fb714c5e9ae3ae949c828961d4f9f2a12e067caa0ecfb3c1475757e5,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:29671200,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,29671200,2026-04-19T00:43:10+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,6,388d9062013285a7439150c2c4218b1b14be64951a90d161639adf1d37cd2233,940bdf2bd12c730c28cd3d5363838048d909c2e998c01005753fc6c686f2f218,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:52450080,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,52450080,2026-04-19T00:43:14+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,10,5e0fd707fc3f29e8468d631746ed86c3c1aa4703d9db02450299d13983d196e3,18421001daf1d648c883441db9603d3599409f3d86002df268b80cbda9eb05ea,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
claude_derm_65wf_e1:80573883,claude_derm_65wf_e1,claude_derm_65_white_man_vs_woman,E1,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wf,sex,woman,80573883,2026-04-19T00:43:12+00:00,true,true,false,,false,NO_DIAGNOSIS,f395cd52d0a6caf88b073670fc56c3344ba845ac4f77b23b31331ce921388662,9,f9ab6565fe0ee87c45fbeaac72474fa36a209100500eebe6705bba3a6417fc29,db5ecc649f1b19aaeef895dbb5ac6671dd6f10f379954ef872d599987597f0b2,571ae73c0704bc944c8c6c56a35fc299d7b07bc8ea82d6c335855b6c697b5419
