request_id,provider_key,model,endpoint_family,api,location,cell_id,domain,demographic,schema_variant,repeat_index,prompt_sha256,schema_sha256,temperature,max_output_tokens,reasoning_effort,expected_output_mode
p4-gemini-C1-S0-000,gemini,google/gemini-3.1-pro-preview,google_vertex,vertex_stream_generate_content,global,C1,xray,32bm,S0,0,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,1.0,4000,medium,strict_json
p4-gemini-C1-S0-001,gemini,google/gemini-3.1-pro-preview,google_vertex,vertex_stream_generate_content,global,C1,xray,32bm,S0,1,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,1.0,4000,medium,strict_json
p4-gemini-C1-S0-002,gemini,google/gemini-3.1-pro-preview,google_vertex,vertex_stream_generate_content,global,C1,xray,32bm,S0,2,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,1.0,4000,medium,strict_json
p4-gemini-C1-S0-003,gemini,google/gemini-3.1-pro-preview,google_vertex,vertex_stream_generate_content,global,C1,xray,32bm,S0,3,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,1.0,4000,medium,strict_json
p4-gemini-C1-S0-004,gemini,google/gemini-3.1-pro-preview,google_vertex,vertex_stream_generate_content,global,C1,xray,32bm,S0,4,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,1.0,4000,medium,strict_json
p4-gemini-C1-S0-005,gemini,google/gemini-3.1-pro-preview,google_vertex,vertex_stream_generate_content,global,C1,xray,32bm,S0,5,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,1.0,4000,medium,strict_json
p4-gemini-C1-S0-006,gemini,google/gemini-3.1-pro-preview,google_vertex,vertex_stream_generate_content,global,C1,xray,32bm,S0,6,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,1.0,4000,medium,strict_json
p4-gemini-C1-S0-007,gemini,google/gemini-3.1-pro-preview,google_vertex,vertex_stream_generate_content,global,C1,xray,32bm,S0,7,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,1.0,4000,medium,strict_json
p4-gemini-C1-S0-008,gemini,google/gemini-3.1-pro-preview,google_vertex,vertex_stream_generate_content,global,C1,xray,32bm,S0,8,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,1.0,4000,medium,strict_json
p4-gemini-C1-S0-009,gemini,google/gemini-3.1-pro-preview,google_vertex,vertex_stream_generate_content,global,C1,xray,32bm,S0,9,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,1.0,4000,medium,strict_json
